Candidat	Frequence	Label
Baley	310	PER
Trantor	78	PER
Hari	56	PER
Mycogène	47	PER
Spaciens	46	PER
Cléon	35	PER
Sarton	33	PER
Hari Seldon	33	PER
Venabili	29	PER
Dr Sarton	27	PER
Sammy	26	PER
Rachelle	26	PER
Sacratorium	20	PER
Sire	16	PER
Amaryl	13	PER
Terrien	12	PER
Sœur	11	PER
Médiévalistes	10	PER
Russ	8	PER
Randa	8	PER
Julius Enderby	7	PER
Olivaw	7	PER
L'Empereur	7	PER
Alem	7	PER
Baley Je	6	PER
Dr Fastolfe	6	PER
Mycogénien	6	PER
Maîtresse Tisalver	6	PER
Thalus	6	PER
Julius	5	PER
Maîtresse Venabili	5	PER
Maîtresse	5	PER
Barrett	4	PER
Ciel	4	PER
Renégat	4	PER
Casilia	4	PER
Trantor Je	4	PER
Maire de Kan	4	PER
Mannix	4	PER
Baley A	3	PER
Baley Mais	3	PER
Voudriez-vous	3	PER
Vince Barrett	3	PER
Baley R Daneel	3	PER
Ai-je	3	PER
Eto Demerzel	3	PER
Héliconien	3	PER
Venabili Elle	3	PER
Seldon Seldon	3	PER
Seldon Dors	3	PER
Mannix IV	3	PER
Jenarr	3	PER
Baley Que	2	PER
Dr Sarton Tout	2	PER
Sarton Tout	2	PER
Baley Il	2	PER
Robot	2	PER
Auriez-vous	2	PER
Réponds-moi	2	PER
Elisabeth	2	PER
Francis Clousarr	2	PER
Boris	2	PER
Baley Dans	2	PER
Baley Oui	2	PER
Médiévaliste	2	PER
Sammy Il	2	PER
Olivaw Je	2	PER
Lije Baley	2	PER
Ahab	2	PER
Jéhu	2	PER
Naboth	2	PER
Dr Sarton Vous	2	PER
Sarton Vous	2	PER
Wellis	2	PER
Sire Je	2	PER
Mycogène Pourquoi	2	PER
Maîtresse Tisalver Elle	2	PER
Lindor	2	PER
Seldon J'ai	2	PER
Yugo Amaryl	2	PER
ENCYCLOPAEDIA GALACTICA Hari Seldon	2	PER
GALACTICA Hari Seldon	2	PER
Parole	2	PER
Astinwald	2	PER
Seldon Raych	2	PER
Rachelle Seldon	2	PER
Hélicon Seldon	2	PER
Levanian	2	PER
Vince Barrett Ah	1	PER
Vince	1	PER
Terrien Impossible Pourquoi	1	PER
Roj Nemennuh Sarton	1	PER
Nemennuh Sarton	1	PER
Pierre Jacques	1	PER
Jacques	1	PER
Paul C'est-à-dire	1	PER
Robot Daneel Olivaw Un	1	PER
Olivaw Un	1	PER
Voyez-vous Daneel	1	PER
Shakespeare	1	PER
Churchill	1	PER
Dr Fastolfe Si	1	PER
Baley Or	1	PER
Baley Laissez-moi	1	PER
Robot Robot Ce	1	PER
Robot Ce	1	PER
Jessie Ben	1	PER
Sammy Garçon	1	PER
Sammy C'est	1	PER
Baley J'y	1	PER
Lije Asseyez-vous Baley	1	PER
Francis Clousarr Deux	1	PER
Baley Oui Elijah	1	PER
Paul Gerhard Baley	1	PER
Gerhard Baley	1	PER
Baley Eh	1	PER
Heisenberg	1	PER
Manuel	1	PER
Baley Alors	1	PER
Phil	1	PER
Baley Etes-vous	1	PER
Dr Sarton Et	1	PER
Sarton Et	1	PER
Dr Fastolfe R Daneel	1	PER
Jessie Baley	1	PER
Lije Allons Jessie	1	PER
L'égarement de Jessie	1	PER
Jane Myers	1	PER
Baley Est-ce	1	PER
Soixante	1	PER
Joseph Klemin	1	PER
Baley Elle	1	PER
Jésus	1	PER
Baley Daneel	1	PER
Baley Quant à Clousarr	1	PER
Dieu du Ciel	1	PER
Sammy Baley	1	PER
Baley Qu'est-ce	1	PER
Baley Et	1	PER
Sammy A	1	PER
Julius Je	1	PER
Revenons-en à R Sammy Quand	1	PER
Sammy Quand	1	PER
Spaciens Elijah	1	PER
Baley Si	1	PER
Francis Clousarr Il	1	PER
Sammy Autre	1	PER
Dr Sarton R Daneel	1	PER
Sarton R Daneel	1	PER
Dr Sarton Il	1	PER
Sarton Il	1	PER
Spacetown Le Dr Sarton	1	PER
Dr Fastolfe Ils	1	PER
Terriens Spacetown	1	PER
Olivaw Vraiment Est-ce	1	PER
Messieurs	1	PER
Elie N	1	PER
Jéhoram	1	PER
Jesreel	1	PER
Naboth Je	1	PER
Bentley Baley Ne	1	PER
Baley Ne	1	PER
Extérieur Baley	1	PER
Lije Bentley	1	PER
Olivaw Ah	1	PER
Olivaw Mais	1	PER
Baley Bentley	1	PER
Olivaw Baley	1	PER
Jessie Oh	1	PER
Julius Oui	1	PER
Julius Il	1	PER
Jessie Chut Baley	1	PER
Lije Jessie	1	PER
Julius Enderby Ah	1	PER
Dr Han Fastolfe Et	1	PER
Han Fastolfe Et	1	PER
Dr Han Fastolfe	1	PER
Han Fastolfe	1	PER
Spaciens Non	1	PER
Dr Sarton Oui	1	PER
Sarton Oui	1	PER
Baley Trois	1	PER
Baley Qu'avez-vous	1	PER
Dr Fastolfe Et	1	PER
Olivaw Moi	1	PER
Dr Fastolfe Quels	1	PER
Dr Fastolfe Mais Baley	1	PER
Fastolfe Mais Baley	1	PER
Dr Fastolfe Où	1	PER
Baley Voilà	1	PER
Dr Fastolfe Il	1	PER
Mathématicien CLÉON Ier	1	PER
CLÉON Ier	1	PER
Hari Seldon On	1	PER
Hari Seldon Cléon	1	PER
Seldon Cléon	1	PER
Sire Mais	1	PER
Sire Eh	1	PER
